Survey ID,"
Do you agree to participate?","
Are you responsible for water collection or treatment in this household?","
Survey Type","
Waterpoint ID","
AEP System ID","
Waterpoint Site Name","
Interviewer's Name","
Interview date","
Interview Start Time",Latitude,Longitude,"
Prefecture","
Sub-Prefecture","
Commune","
Town or Village Name","
Neighborhood (or village name if no neighborhoods)","
Interviewee's Gender","
What is the highest level of education obtained by the head of the household?","
Other type of education","
What is your household's main source of income?","
Other household income","
How many people live in your household in total, including yourself.","
What is your main source of drinking water in the WET/RAINY season?","
Other water source type during WET/RAINY season.","
Waterpoint ID (WET/RAINY season)","
Waterpoint Name (WET/RAINY season)","
What is your main source of drinking water in the DRY season?","
Other water source type during DRY season.","
Waterpoint ID (DRY season)","
(Waterpoint Name (DRY season)","
Where is that water collected from?","
How long does it take to go there, get water, and come back? (in minutes, don't collect, don't know)","
Number of minutes to collect water.","
In the last month, has there been any time when your household did not have sufficient quantities of drinking water when needed?","
Who usually goes to this source to fetch water for your household?","
How many trips did that person make in the last week?","
Is water always available from your main water source?","
What was the (main) reason you were unable to access sufficient quantities of water when needed? Select one.","If there is another reason why you were unable to collect enough water, please note it here.
Other reason for not collecting sufficient amounts of water.","How many hours a day is water accessible from the water point?
How many hours per day is water supplied on average?","
In the past month, for how many days was water from this source unavailable when needed? (Number of Days)","
Is this for personal, commercial or institutional use?","
Other reason for collecting water.","
Do you or your family ever suffer from stomach related illnesses/water-bourne diseases and how often does this occur?","
Do you still treat/process your water in any way to make it safe for drinking, food washing, and basic personal hygiene?","
What method do you use to make the water safe?","
Other method of filtering water.","
What is the reason for not making your water safe for drinking, food washing, and basic personal hygiene?","
If you had the means to purify water and choose to do this, which method would you most likely use?","
DRY SEASON - Technology: Traditional wood stove or stone fire","
DRY SEASON - Technology: Improved Wood Stove","
DRY SEASON - Technology: Charcoal Stove","
DRY SEASON - Technology: Gas Stove","
DRY SEASON - Technology: Kerosene Stove","
DRY SEASON - Technology: Electric Stove","
DRY SEASON - Technology: Other Cooking Technology","
For cooking, do you use different cooking technologies for the wet season than you do for the dry season?","
WET SEASON - Technology: Traditional wood stove or stone fire","
WET SEASON - Technology: Improved Wood Stove","
WET SEASON - Technology: Charcoal Stove","
WET SEASON - Technology: Gas Stove","
WET SEASON - Technology: Kerosene Stove","
WET SEASON - Technology: Electric Stove","
WET SEASON - Technology: Other Cooking Technology","
What is the main stove that you use for cooking if you use more than one stove?","
DRY SEASON - Fuel: Wood","
DRY SEASON - Fuel: Gas","
DRY SEASON - Fuel: Charcoal","
DRY SEASON - Fuel: Kerosene","
DRY SEASON - Fuel: Electricity","
DRY SEASON - Fuel: Crop Residues","
DRY SEASON - Fuel: Biogas","
DRY SEASON - Fuel: Animal Dung","
DRY SEASON - Fuel: Other fuel frequency","
DRY SEASON - Fuel: Other fuel type","
For cooking or boiling water, do you use different fuel types in the wet season than you do in the dry season?","
WET SEASON - Fuel: Wood","
WET SEASON - Fuel: Gas","
WET SEASON - Fuel: Charcoal","
WET SEASON - Fuel: Kerosene","
WET SEASON - Fuel: Electricity","
WET SEASON - Fuel: Crop Residues","
WET SEASON - Fuel: Biogas","
WET SEASON - Fuel: Animal Dung","
WET SEASON - Fuel: Other fuel frequency","
WET SEASON - Fuel: Other fuel type","
If you are using more than one fuel, which fuel do you mainly use for cooking?","
Where do you collect your fuel?","
How long does it take to go to the fuel source, get fuel, and come back?","
Number of minutes to collect fuel.","
How many trips were made to collect fuel in the last week?","
How many water storage containers: 5 liters","
How many water storage containers: 10 liters","
How many water storage containers: 15 liters","
How many water storage containers: 20 liters","
How many water storage containers: 25 liters","
How many water storage containers: other size","
What is the size of the other water container, in liters?","
Does your household have a storage container? Such as a barrel.","
If yes, how many liters does that storage container hold?","
Can you please show me where members of your household most often wash their hands?","
Observe availability of water at the place for handwashing.","
Observe availability of soap or detergent at the place for handwashing.","
Additional commentary.","
Interview completion time."
643,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,MOSSALBAYE Armand,2022-12-05,15:49:00,4.660373,15.800669,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Catholic City,Women,Primary,,Agriculture,,10,Drilling with TDC,,F2121,Catholic City 1A,Drilling with TDC,,F2121,Catholic City 1A,Other place,Number of minutes (specify),120,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is too expensive (water price),,6-11 hours a day,1,Staff,,Once a month,No,,,The water is already drinkable (improved source),To boil,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,1,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),240,3,2,0,0,3,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,16:05:00
469,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,MOSSALBAYE Armand,2022-12-05,16:44:00,4.658431,15.802989,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Catholic City 2,Women,Primary,,Casual Work,,7,Drilling with TDC,,F2127,Catholic City 2B,Drilling with TDC,,F2127,Catholic City 2B,Other place,Number of minutes (specify),120,"Yes, at least once",Adult woman (over 15),4,"No, but water is available most of the time",Water is too expensive (water price),,6-11 hours a day,5,Staff,,"Once, every few months",No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Do not know,,,1,0,0,1,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,17:04:00
472,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,MOSSALBAYE Armand,2022-12-05,17:15:00,4.657449,15.802831,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Catholic City 2,Women,None,,Agriculture,,5,Drilling with TDC,,F2127,Catholic City 2B,Drilling with TDC,,F2127,Catholic City 2B,Other place,Do not know,,"Yes, at least once",Adult woman (over 15),4,"Yes, water is always available",Water is not available at the source (no water),,6-11 hours a day,2,Staff,,"Once, every few months",No,,,I do not know how to do,Do not know,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),280,3,0,0,1,3,1,1,30,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,17:32:00
436,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,DANGOLHO Job,2022-12-05,16:03:00,4.660456,15.800983,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Women,Primary,,Agriculture,,11,Drilling with TDC,,F1813,Nandobo Ndoumbe 2,Drilling with TDC,,F2127,Catholic City 2B,Other place,Number of minutes (specify),180,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,6-11 hours a day,6,Staff,,"Once, every few months",No,,,The water is already drinkable (improved source),To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),240,5,0,0,0,2,1,0,1,No,,No hand washing place in the house or plot,,,,16:41:00
667,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,NGUEBATA Arlette,2022-12-05,15:42:00,4.659792,15.802355,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Women,Primary,,Agriculture,,7,Unimproved or unprotected source,,,,Unimproved or unprotected source,,,,Other place,Number of minutes (specify),120,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,18-24 hours a day,1,Staff,,"Once, every few months",No,,,It's taking too long,"Use a water filter (ceramic, sand, composite, reverse osmosis, etc.)",4,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,4,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),180,6,0,1,0,2,0,0,10,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,16:11:00
517,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,NABELMA Eddy,2022-12-05,15:45:00,4.660783,15.801898,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Man,Primary,,Agriculture,,11,Drilling with TDC,,F1813,Nandobo Ndoumbe 2,Drilling with TDC,,F1813,Nandobo Ndoumbe 2,Other place,Number of minutes (specify),45,"No, access is still sufficient",Adult woman (over 15),21,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,4,Staff,,Several times a month,No,,,It is expensive,To boil,4,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,4,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),120,5,1,0,0,3,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,Nothing to report,16:16:00
442,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,DANGOLHO Job,2022-12-05,17:05:00,4.661104,15.800204,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Women,Primary,,Agriculture,,7,Drilling with TDC,,F2121,Catholic City 1A,Drilling with TDC,,F2121,Catholic City 1A,Other place,Number of minutes (specify),180,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",The source is not accessible (no access),,24 hours a day,5,Staff,,Once a month,No,,,It's taking too long,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),240,3,0,0,0,3,0,0,,Yes,200,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,17:20:00
439,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,DANGOLHO Job,2022-12-05,16:44:00,4.660787,15.800692,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Women,Primary,,Casual Work,,12,Drilling with TDC,,F2121,Catholic City 1A,Drilling with TDC,,F2121,Catholic City 1A,Other place,Number of minutes (specify),180,"Yes, at least once",Adult woman (over 15),5,"Yes, water is always available",Water is too expensive (water price),,24 hours a day,3,Staff,,Never,No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),160,4,0,0,0,3,1,0,,No,,No hand washing place in the house or plot,,,,17:00:00
658,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,MOSSALBAYE Armand,2022-12-05,16:15:00,4.661827,15.802442,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Ndoumbe,Women,Primary,,Casual Work,,5,Unimproved or unprotected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),280,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,"Once, every few months",No,,,I do not know how to do,Do not know,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Housekeeping does not collect (0 minutes),,,1,0,3,2,0,1,60,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,16:32:00
529,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,NABELMA Eddy,2022-12-05,16:54:00,4.661984,15.801840,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Ndoumbe 2,Women,Primary,,Agriculture,,5,Drilling with TDC,,F1813,Nandobo Ndoumbe 2,Drilling with TDC,,F1813,Nandobo Ndoumbe 2,Other place,Number of minutes (specify),60,"Yes, at least once",Adult woman (over 15),21,"Yes, water is always available",Water is not available at the source (no water),,18-24 hours a day,2,Staff,,"Once, every few months",No,,,It is expensive,To boil,4,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Number of minutes (specify),12,14,0,0,0,3,1,0,,No,,No hand washing place in the house or plot,,,Nothing to report,17:30:00
520,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,NABELMA Eddy,2022-12-05,16:22:00,4.660801,15.802493,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Ndoumbe 2,Man,Primary,,Agriculture,,7,Drilling with TDC,,F1813,Nandobo Ndoumbe 2,Drilling with TDC,,F1813,Nandobo Ndoumbe 2,Other place,Number of minutes (specify),60,"Yes, at least once",Adult woman (over 15),24,"Yes, water is always available",Water is not available at the source (no water),,18-24 hours a day,2,Staff,,Several times a month,No,,,It is expensive,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Number of minutes (specify),60,3,0,0,0,6,2,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,Nothing to report,16:51:00
595,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,NGUEBATA Arlette,2022-12-06,09:36:00,4.661588,15.797252,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,City 1,Women,Primary,,Formal Employment,,6,Public tap or standpipe (KBF),,KBF Nandobo Health Center,KBF Nandobo Health Center,Public tap or standpipe (KBF),,KBF Nandobo Health Center,KBF Nandobo Health Center,Other place,Number of minutes (specify),120,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,1,Staff,,"Once, every few months",No,,,The water is already drinkable (improved source),Add chlorine or product,4,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,4,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Housekeeping does not collect (0 minutes),,,0,0,0,5,0,1,30,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,There is a system in the health center but it is unidentified,10:14:00
481,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,MOSSALBAYE Armand,2022-12-06,08:57:00,4.660995,15.797273,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Catholic City,Women,Primary,,Casual Work,,7,Public tap or standpipe (KBF),,KBF Nandobo Health Center,KBF Nandobo Health Center,Public tap or standpipe (KBF),,KBF Nandobo Health Center,KBF Nandobo Health Center,Other place,Number of minutes (specify),120,"Yes, at least once",Girl (under 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,Less than 6 hours per day,3,Staff,,Once a month,No,,,It is expensive,To boil,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Housekeeping does not collect (0 minutes),,,0,0,2,2,3,1,60,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,09:12:00
484,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,MOSSALBAYE Armand,2022-12-06,09:15:00,4.660520,15.796930,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Catholic City 1,Women,Primary,,Agriculture,,18,Public tap or standpipe (KBF),,KBF Nandobo Health Center,KBF Nandobo Health Center,Public tap or standpipe (KBF),,KBF Nandobo Health Center,KBF Nandobo Health Center,Other place,Number of minutes (specify),130,"Yes, at least once",Adult woman (over 15),7,"No, water is only available occasionally",Water is not available at the source (no water),,Less than 6 hours per day,2,Staff,,"Once, every few months",No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),270,2,0,0,1,1,2,1,60,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,The mini water system at the health center is not identified by WFG.,09:34:00
535,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,NABELMA Eddy,2022-12-06,07:47:00,4.662720,15.799767,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Man,None,,Casual Work,,4,Drilling with TDC,,F1811,Nandobo School,Drilling with TDC,,F1811,Nandobo School,Other place,Number of minutes (specify),60,"No, access is still sufficient",Adult woman (over 15),14,"Yes, water is always available",Water is not available at the source (no water),,18-24 hours a day,2,Staff,,Never,No,,,It's taking too long,Add chlorine or product,3,1,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,1,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Number of minutes (specify),15,7,0,0,0,4,4,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,Nothing to report,08:24:00
592,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,NGUEBATA Arlette,2022-12-06,08:52:00,4.661982,15.798230,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Women,Secondary,,Agriculture,,6,Drilling with TDC,,F1130,Nandobo Town Hall,Drilling with TDC,,F1130,Nandobo Town Hall,Other place,Number of minutes (specify),120,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,2,Staff,,Once a month,No,,,The water is already drinkable (improved source),To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),300,6,2,0,0,0,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,09:27:00
589,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,NGUEBATA Arlette,2022-12-06,07:58:00,4.662505,15.798517,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Women,Primary,,Agriculture,,9,Drilling with TDC,,F1130,Nandobo Town Hall,Drilling with TDC,,F1130,Nandobo Town Hall,Other place,Number of minutes (specify),180,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,1,Staff,,"Once, every few months",No,,,I do not know how to do,"Use a water filter (ceramic, sand, composite, reverse osmosis, etc.)",3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),190,6,2,0,0,0,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,08:39:00
451,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,DANGOLHO Job,2022-12-06,09:07:00,4.661850,15.800199,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Women,Primary,,Agriculture,,6,Drilling with TDC,,F1811,Nandobo School,Drilling with TDC,,F1811,Nandobo School,Other place,Number of minutes (specify),120,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,6-11 hours a day,4,Staff,,Never,No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),240,3,1,0,0,1,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,09:36:00
448,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,DANGOLHO Job,2022-12-06,08:26:00,4.662045,15.799744,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Man,Primary,,Casual Work,,14,Drilling with TDC,,F1811,Nandobo School,Drilling with TDC,,F1811,Nandobo School,Other place,Number of minutes (specify),45,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is too expensive (water price),,6-11 hours a day,5,Staff,,Never,No,,,The water is already drinkable (improved source),To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,1,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),160,4,0,0,0,2,5,0,,No,,No hand washing place in the house or plot,,,,08:58:00
445,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,DANGOLHO Job,2022-12-06,08:01:00,4.662448,15.799421,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Women,Primary,,Agriculture,,8,Drilling with TDC,,F1811,Nandobo School,Drilling with TDC,,F1811,Nandobo School,Other place,Number of minutes (specify),120,"Yes, at least once",Adult male (over 15),7,"Yes, water is always available",Water is not available at the source (no water),,24 hours a day,5,Staff,,Never,No,,,I do not know how to do,To boil,3,0,1,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),180,5,0,0,0,1,5,0,,No,,No hand washing place in the house or plot,,,,08:16:00
475,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,MOSSALBAYE Armand,2022-12-06,08:02:00,4.661888,15.799193,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Nana Mambere,Women,Secondary,,Agriculture,,5,Public tap or standpipe (KBF),,KBF Nandobo Health Center,KBF Nandobo Health Center,Public tap or standpipe (KBF),,KBF Nandobo Health Center,KBF Nandobo Health Center,Other place,Number of minutes (specify),260,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is too expensive (water price),,6-11 hours a day,2,Staff,,"Once, every few months",No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),180,3,3,0,0,5,2,1,60,Yes,200,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,The Nandobo health center has a mini AEP system with only one KBF but without in the WFG database.,08:17:00
478,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,MOSSALBAYE Armand,2022-12-06,08:22:00,4.663052,15.800250,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Ndoumbe,Women,Primary,,Casual Work,,8,Drilling with TDC,,F1811,Nandobo School,Drilling with TDC,,F1811,Nandobo School,Other place,Number of minutes (specify),200,"Yes, at least once",Adult woman (over 15),7,"No, water is only available occasionally",Water is not available at the source (no water),,6-11 hours a day,6,Staff,,"Once, every few months",No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),180,3,10,0,1,3,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,08:41:00
541,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,NABELMA Eddy,2022-12-06,09:05:00,4.663532,15.800851,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Ndoumbe 2,Women,Primary,,Agriculture,,6,Public tap or standpipe (KBF),,B386,Nandobo Town Hall A,Drilling with TDC,,F1811,Nandobo School,Other place,Number of minutes (specify),15,"Yes, at least once",Adult woman (over 15),21,"No, but water is available most of the time",Water is too expensive (water price),,12-17 hours a day,8,Staff,,Once a month,No,,,It's taking too long,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),120,3,0,0,0,7,3,0,,No,,No hand washing place in the house or plot,,,Nothing to report,09:37:00
538,Yes,Yes,Planned AEP System,B998,AEP68,Nandobo-Center C,NABELMA Eddy,2022-12-06,08:28:00,4.663900,15.800020,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,Ndoumbe 2,Women,Primary,,Agriculture,,6,Drilling with TDC,,F1811,Nandobo School,Public tap or standpipe (KBF),,B386,Nandobo Town Hall A,Other place,Number of minutes (specify),12,"Yes, at least once",Adult woman (over 15),35,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,5,Staff,,"Once, every few months",No,,,It is expensive,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),180,2,0,0,0,6,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,Nothing to report,09:00:00
652,Yes,Yes,Planned AEP System,B911,AEP183,Beautiful View B,DANGOLHO Job,2022-12-07,16:50:00,5.704363,15.942635,Nana-Mambere,baoro,Bawi Tedoa,baoro,Nice view,Women,Primary,,Agriculture,,3,Unimproved or unprotected source,,,,Unimproved or unprotected source,,,,Other place,Number of minutes (specify),15,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,Several times a month,No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Savannah,Number of minutes (specify),240,3,0,0,0,2,1,0,,No,,No hand washing place in the house or plot,,,,17:12:00
649,Yes,Yes,Planned AEP System,B911,AEP183,Beautiful View B,DANGOLHO Job,2022-12-07,11:58:00,5.703153,15.942472,Nana-Mambere,baoro,Bawi Tedoa,baoro,Nice view,Women,Secondary,,Agriculture,,12,Unimproved or unprotected source,,,,Unimproved or unprotected source,,,,Other place,Number of minutes (specify),15,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,Several times a month,No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Savannah,Number of minutes (specify),30,6,0,0,1,1,1,0,,Yes,200,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,12:19:00
646,Yes,Yes,Planned AEP System,B911,AEP183,Beautiful View B,DANGOLHO Job,2022-12-07,11:23:00,5.703206,15.943018,Nana-Mambere,baoro,Bawi Tedoa,baoro,Nice view,Women,Primary,,Agriculture,,9,Unimproved or unprotected source,,,,Unimproved or unprotected source,,,,Other place,Number of minutes (specify),30,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,Once a month,No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Savannah,Number of minutes (specify),60,3,0,0,0,1,1,0,,Yes,200,No hand washing place in the house or plot,,,,11:47:00
634,Yes,Yes,Planned AEP System,B911,AEP183,Beautiful View B,DANGOLHO Job,2022-12-07,10:45:00,5.703585,15.943351,Nana-Mambere,baoro,Bawi Tedoa,baoro,Nice view,Women,Primary,,Agriculture,,11,Unimproved or unprotected source,,,,Unimproved or unprotected source,,,,Other place,Number of minutes (specify),15,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,"Once, every few months",No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Savannah,Number of minutes (specify),40,4,0,0,0,1,2,0,,No,,No hand washing place in the house or plot,,,,11:09:00
